Clone,HWAMM,HWAMS,CWAMM,CWAMS,LAIXM,LAIXS,Year,Location,MeanROOT
TMS14F1036P0007,8.021,11.757,13.802,7.607,4,1.1,2019,AGO-OWO,10008
TMS14F1049P0001,16.676,7.795,10.542,5.949,3,1,2019,AGO-OWO,10592
TMS14F1098P0013,15.153,11.456,10.333,4.867,NA,0.9,2019,AGO-OWO,11532
TMS14F1120P0003,19.305,6.557,13.229,7.541,2,1.1,2019,AGO-OWO,10060
TMS14F1125P0010,13.425,11.572,8.771,4.908,4,0.9,2019,AGO-OWO,10855
TMS14F1131P0001,9.632,9.743,6.542,5.277,2,1,2019,AGO-OWO,10573
TMS14F1146P0002,16.267,9.915,12.646,5.214,6,1.1,2019,AGO-OWO,10645
TMS14F1159P0003,11.571,8.564,6.896,4.115,2,1.1,2019,AGO-OWO,9878
TMS14F1194P0002,16.15,7.804,11.188,5.386,4,0.9,2019,AGO-OWO,11299
TMS14F1195P0004,9.124,8.949,NA,4.997,2,1,2019,AGO-OWO,10657
TMS14F1195P0005,15.216,11.862,7.729,7.123,2,1,2019,AGO-OWO,10320
TMS14F1196P0003,18.921,9.714,7.521,5.613,NA,0.9,2019,AGO-OWO,10276
TMS14F1208P0007,7.589,5.919,7.688,6.002,1,0.8,2019,AGO-OWO,9351
TMS14F1223P0007,15.991,11.274,8.604,4.803,NA,0.9,2019,AGO-OWO,10218
TMS14F1224P0004,22.347,2.869,16.396,10.381,6,0.7,2019,AGO-OWO,10673
TMS14F1262P0002,11.752,9.658,19.125,8.574,3,1.5,2019,AGO-OWO,9524
TMS14F1278P0003,14.67,10.132,9.594,5.976,1,1.1,2019,AGO-OWO,10285
TMS14F1285P0006,14.444,11.201,11.781,4.293,4,1.3,2019,AGO-OWO,11588
TMS14F1285P0017,13.127,10.3,11.812,4.238,4,1.1,2019,AGO-OWO,11933
TMS14F1287P0008,12.964,12.45,8.479,4.404,NA,1.3,2019,AGO-OWO,11164
TMS14F1288P0008,16.798,11.929,16.781,4.592,4,0.8,2019,AGO-OWO,10346
TMS14F1291P0003,16.538,6.71,13.167,5.29,8,0.8,2019,AGO-OWO,10966
TMS14F1291P0011,13.654,9.885,14.771,4.554,8,1,2019,AGO-OWO,10601
TMS14F1291P0012,16.088,21.124,17.062,13.65,7,2.7,2019,AGO-OWO,11512
TMS14F1292P0012,16.06,9.988,10.25,3.865,3,0.8,2019,AGO-OWO,10410
TMS14F1295P0012,12.511,8.37,7.854,6.073,5,1,2019,AGO-OWO,9592
TMS14F1297P0019,12.932,17.165,15.99,6.782,4,1.9,2019,AGO-OWO,10416
TMS14F1299P0007,NA,7.725,NA,5.358,NA,0.9,2019,AGO-OWO,10588
TMS14F1300P0002,NA,10.395,NA,7.375,NA,1.2,2019,AGO-OWO,10443
TMS14F1300P0008,NA,7.376,NA,5.74,NA,0.9,2019,AGO-OWO,10286
TMS14F1301P0004,NA,11.282,NA,3.896,NA,0.9,2019,AGO-OWO,9902
TMS14F1301P0013,NA,13.198,NA,4.604,NA,1,2019,AGO-OWO,9575
TMS14F1303P0012,NA,8.793,NA,4.206,NA,1.1,2019,AGO-OWO,9861
TMS14F1306P0008,NA,12.318,NA,4.831,NA,0.9,2019,AGO-OWO,10244
TMS14F1306P0015,NA,11.799,NA,4.809,NA,1.2,2019,AGO-OWO,10078
TMS14F1306P0020,NA,9.862,NA,5.152,NA,1,2019,AGO-OWO,10451
TMS14F1310P0004,NA,7.938,NA,5.831,NA,1,2019,AGO-OWO,9273
TMS14F1310P0015,NA,11.094,NA,5.094,NA,0.9,2019,AGO-OWO,9280
TMS14F1311P0002,NA,9.069,NA,5.057,NA,0.8,2019,AGO-OWO,8860
TMS14F1312P0003,NA,9.069,NA,5.057,NA,0.8,2019,AGO-OWO,5401
IITA-TMS-IBA000070,16.65,8.606,7.208,5.01,5,0.6,2017,IBADAN,12227
IITA-TMS-IBA30572,13.989,6.614,10.729,9.343,3,1.4,2017,IBADAN,9141
IITA-TMS-IBA980581,14.846,12.113,8.333,6.156,4,0.9,2017,IBADAN,10073
IITA-TMS-IBA982101,7.055,8.808,10.104,6.723,3,1,2017,IBADAN,9484
TMEB419,16.125,13.932,8.958,4.806,3,1.3,2017,IBADAN,10314
TMS13F1021P0008,19.392,11.345,9.375,4.804,4,0.8,2017,IBADAN,11206
TMS13F1114P0001,18.003,12.289,14.583,4.779,4,1.3,2017,IBADAN,10138
TMS13F1182P0002,14.939,7.404,9.271,4.982,5,1,2017,IBADAN,11409
TMS13F1461P0002,17.253,12.289,8.958,4.779,5,1.3,2017,IBADAN,11689
TMS13F2061P0005,14.43,9.587,8.875,4.67,3,0.7,2017,IBADAN,10276
TMS13F2207P0001,20.073,11.337,8.896,4.575,5,0.7,2017,IBADAN,12634
TMS14F1001P0004,13.062,8.879,7.292,4.258,3,0.9,2017,IBADAN,10561
TMS14F1016P0006,3.106,9.444,5.417,4.529,13,0.9,2017,IBADAN,11269
TMS14F1022P0006,15.1,9.769,4.375,4.722,5,0.9,2017,IBADAN,12806
TMS14F1035P0004,24.7,13.231,10.417,6.712,5,1.2,2017,IBADAN,12932
TMS14F1035P0007,14.516,12.798,8.125,5.264,6,1,2017,IBADAN,10891
TMS14F1036P0007,5.225,10.851,14.167,6.971,4,0.9,2017,IBADAN,10008
TMS14F1049P0001,11.48,5.956,14.583,5.513,NA,0.7,2017,IBADAN,10592
TMS14F1120P0003,17.476,4.72,11.875,7.033,4,0.8,2017,IBADAN,10060
TMS14F1194P0002,16.055,6.546,4,5.11,3,0.8,2017,IBADAN,11299
TMS14F1195P0005,12.776,11.525,5.014,6.49,NA,0.8,2017,IBADAN,10320
TMS14F1223P0007,5.25,9.486,7.792,4.578,4,0.7,2017,IBADAN,10218
