source,Clone,TRNO,EXCODE,HWAMS,HWAMM,LAIXS,LAIXM,CWAMS,CWAMM
14,TMS14F1196P0003,39,UYMO1901CS,6609,6982,0.8,2,3431,6385
14,TMS14F1208P0007,40,UYMO1901CS,6609,6222,0.8,6,3431,5979
14,TMS14F1223P0007,41,UYMO1901CS,6609,9126,0.8,3,3431,7979
14,TMS14F1224P0004,42,UYMO1901CS,6609,2500,0.8,2,3431,2635
14,TMS14F1262P0002,43,UYMO1901CS,6609,6797,0.8,4,3431,6344
14,TMS14F1278P0003,44,UYMO1901CS,6609,7720,0.8,2,3431,5698
14,TMS14F1285P0006,45,UYMO1901CS,10983,5568,1.4,2,4962,3583
14,TMS14F1285P0017,46,UYMO1901CS,11792,8009,1.3,0,5307,7948
14,TMS14F1287P0008,47,UYMO1901CS,11560,6914,1.8,7,6474,6354
14,TMS14F1288P0008,48,UYMO1901CS,6111,5633,0.7,1,5572,6406
14,TMS14F1291P0003,49,UYMO1901CS,11906,5736,1.3,0,5353,3698
14,TMS14F1291P0011,50,UYMO1901CS,11861,4487,1.3,0,5323,7354
14,TMS14F1291P0012,51,UYMO1901CS,5216,4950,0.7,6,4057,4615
14,TMS14F1292P0012,52,UYMO1901CS,11973,6567,1.6,3,5621,7312
14,TMS14F1295P0012,53,UYMO1901CS,7070,5895,0.9,1,4326,6990
14,TMS14F1297P0019,54,UYMO1901CS,9149,6765,1.3,4,5680,6833
14,TMS14F1299P0007,55,UYMO1901CS,9149,4544,1.3,4,5680,7031
14,TMS14F1300P0002,56,UYMO1901CS,11937,6599,1.3,0,5347,7167
14,TMS14F1300P0008,57,UYMO1901CS,0,7072,0.6,4,7655,4292
14,TMS14F1301P0004,58,UYMO1901CS,12028,2970,1.3,0,5379,3094
14,TMS14F1301P0013,59,UYMO1901CS,11378,7930,1.4,8,4839,9177
14,TMS14F1303P0012,60,UYMO1901CS,8650,8670,1,8,3978,6854
14,TMS14F1306P0008,61,UYMO1901CS,7636,5560,0.9,7,4398,6604
14,TMS14F1306P0015,62,UYMO1901CS,14508,8339,2.1,3,6466,5115
14,TMS14F1306P0020,63,UYMO1901CS,7452,3739,0.9,3,4518,3104
14,TMS14F1310P0004,64,UYMO1901CS,7636,4260,0.9,5,4398,5729
